Client_Name,Client_Type,Completeness_Documents,Frequency_Update,Incident_History,Complaints,Income,Operational_Risk,Last_KYC_Update,Next_KYC_Update,KYC_Status,Document_Type,Document_Issue_Date,Document_Expiry_Date,Document_Status
Cliente_0001,individual,complete,recent,none,1,low,low,2021-02-14,2026-02-14,A vencer,BI,2023-02-14,2028-02-14,Válido
Cliente_0002,vip,complete,recent,none,1,low,low,2026-02-14,2031-02-14,Em dia,Certidão Nascimento,2016-02-14,2021-02-14,Expirado
Cliente_0003,corporate,partial,recent,none,3,high,low,2026-02-14,2031-02-14,Em dia,Passaporte,2019-02-14,2024-02-14,Expirado
Cliente_0004,individual,complete,stale,none,1,low,low,2021-02-14,2026-02-14,A vencer,BI,2024-02-14,2029-02-14,Válido
Cliente_0005,individual,partial,recent,none,1,low,low,2024-02-14,2029-02-14,Em dia,Certidão Comercial,2025-02-14,2030-02-14,Válido
Cliente_0006,individual,complete,never,none,0,high,medium,2025-02-14,2027-02-14,Em dia,Prova Emigrante,2021-02-14,2026-02-14,Quase Expirando
Cliente_0007,individual,partial,recent,none,1,low,low,2025-02-14,2030-02-14,Em dia,Certidão Nascimento,2025-02-14,2030-02-14,Válido
Cliente_0008,corporate,partial,stale,none,4,medium,medium,2025-02-14,2027-02-14,Em dia,BI,2026-02-14,2031-02-14,Válido
Cliente_0009,individual,complete,stale,none,1,low,low,2021-02-14,2026-02-14,A vencer,Prova Emigrante,2019-02-14,2024-02-14,Expirado
Cliente_0010,corporate,complete,stale,none,1,medium,low,2026-02-14,2031-02-14,Em dia,Prova Emigrante,2026-02-14,2031-02-14,Válido
Cliente_0011,individual,complete,never,none,1,low,medium,2021-02-14,2023-02-14,Atrasado,Prova Emigrante,2024-02-14,2029-02-14,Válido
Cliente_0012,vip,partial,stale,none,0,high,medium,2021-02-14,2023-02-14,Atrasado,Certidão Comercial,2017-02-14,2022-02-14,Expirado
Cliente_0013,corporate,complete,never,major,0,low,high,2022-02-14,2023-02-14,Atrasado,CNI,2020-02-14,2025-02-14,Expirado
Cliente_0014,individual,partial,recent,none,0,medium,low,2026-02-14,2031-02-14,Em dia,BI,2020-02-14,2025-02-14,Expirado
Cliente_0015,individual,complete,stale,minor,0,high,medium,2022-02-14,2024-02-14,Atrasado,Prova Emigrante,2019-02-14,2024-02-14,Expirado
Cliente_0016,individual,complete,recent,none,1,high,low,2023-02-14,2028-02-14,Em dia,CNI,2026-02-14,2031-02-14,Válido
Cliente_0017,individual,complete,recent,none,1,low,low,2026-02-14,2031-02-14,Em dia,Prova Emigrante,2020-02-14,2025-02-14,Expirado
Cliente_0018,individual,complete,recent,none,0,medium,low,2026-02-14,2031-02-14,Em dia,Certidão Nascimento,2016-02-14,2021-02-14,Expirado
Cliente_0019,individual,complete,recent,none,2,low,low,2026-02-14,2031-02-14,Em dia,Certidão Nascimento,2020-02-14,2025-02-14,Expirado
Cliente_0020,individual,partial,recent,none,1,medium,low,2025-02-14,2030-02-14,Em dia,Certidão Nascimento,2024-02-14,2029-02-14,Válido
